YEAR;REF_YEAR;ANNUAL_TICKETS
2005;2015;303000
2007;2015;325000
2009;2015;336000
2011;2015;363000
2012;2015;501000
2013;2015;582000
2014;2015;650000
2015;2015;711250
2005;2016;303000
2007;2016;325000
2009;2016;336000
2011;2016;363000
2012;2016;501000
2013;2016;582000
2014;2016;650000
2015;2016;711250
2016;2016;733000
2005;2017;303000
2007;2017;325000
2009;2017;336000
2011;2017;363000
2012;2017;501000
2013;2017;582000
2014;2017;650000
2015;2017;711250
2016;2017;733000
2017;2017;778162
2005;2018;303000
2007;2018;325000
2009;2018;336000
2011;2018;363000
2012;2018;501000
2013;2018;582000
2014;2018;650000
2015;2018;711250
2016;2018;733000
2017;2018;778162
2018;2018;822174
2005;2019;303000
2007;2019;325000
2009;2019;336000
2011;2019;363000
2012;2019;501000
2013;2019;582000
2014;2019;650000
2015;2019;711250
2016;2019;733000
2017;2019;778162
2018;2019;822174
2019;2019;852300
2005;2020;303000
2007;2020;325000
2009;2020;336000
2011;2020;363000
2012;2020;501000
2013;2020;582000
2014;2020;650000
2015;2020;711250
2016;2020;733000
2017;2020;778162
2018;2020;822174
2019;2020;852300
2020;2020;818813
2005;2021;303000
2007;2021;325000
2009;2021;336000
2011;2021;363000
2012;2021;501000
2013;2021;582000
2014;2021;650000
2015;2021;711250
2016;2021;733000
2017;2021;778162
2018;2021;822174
2019;2021;852300
2020;2021;818813
2021;2021;859065
