YEAR;REF_YEAR;BICYCLE;BIKESHARING;BY_FOOT;CAR;CARSHARING;MOTORBIKE;PUBLIC_TRANSPORT
1993;2015;3;0;28;40;0;0;29
1999;2015;4;0;27;36;0;0;33
2003;2015;3;0;27;35;0;1;34
2009;2015;6;0;27;32;0;0;35
2010;2015;5;0;28;31;0;0;36
2011;2015;6;0;28;29;0;0;37
2012;2015;6;0;28;27;0;0;39
2013;2015;6;0;27;28;0;0;39
2014;2015;7;0;26;28;0;0;39
2015;2015;7;0;27;27;0;0;39
1993;2016;3;0;28;40;0;0;29
1999;2016;4;0;27;36;0;0;33
2003;2016;3;0;27;35;0;1;34
2009;2016;6;0;27;32;0;0;35
2010;2016;5;0;28;31;0;0;36
2011;2016;6;0;28;29;0;0;37
2012;2016;6;0;28;27;0;0;39
2013;2016;6;0;27;28;0;0;39
2014;2016;7;0;26;28;0;0;39
2015;2016;7;0;27;27;0;0;39
2016;2016;7;0;27;27;0;0;39
1993;2017;3;0;28;40;0;0;29
1999;2017;4;0;27;36;0;0;33
2003;2017;3;0;27;35;0;1;34
2009;2017;6;0;27;32;0;0;35
2010;2017;5;0;28;31;0;0;36
2011;2017;6;0;28;29;0;0;37
2012;2017;6;0;28;27;0;0;39
2013;2017;6;0;27;28;0;0;39
2014;2017;7;0;26;28;0;0;39
2015;2017;7;0;27;27;0;0;39
2016;2017;7;0;27;27;0;0;39
2017;2017;7;0;28;27;0;0;38
2005;2018;3;0;28;34;0;1;34
2006;2018;4;0;27;34;0;0;35
2007;2018;5;0;28;32;0;0;35
2008;2018;5;0;27;33;0;0;35
2009;2018;5.50;0;26.60;32.10;0;0.40;35.40
2010;2018;4.60;0;28.40;30.50;0;0.40;36.10
2011;2018;5.60;0;28.30;28.50;0;0.40;37.20
2012;2018;6.30;0;27.50;26.80;0;0.10;39.40
2013;2018;6.40;0;27;27.20;0;0.20;39.20
2014;2018;7.10;0;26.10;27.10;0;0.50;39.10
2015;2018;6.80;0;27.30;26.70;0;0.20;38.90
2016;2018;7;0.10;27.10;27;0.20;0.30;38.60
2017;2018;6.50;0.10;28.40;26.90;0;0.50;37.60
2018;2018;6.90;0;26.30;28.30;0.10;0.50;37.80
2005;2019;3;0;28;34;0;1;34
2006;2019;4;0;27;34;0;0;35
2007;2019;5;0;28;32;0;0;35
2008;2019;5;0;27;33;0;0;35
2009;2019;5.50;0;26.60;32.10;0;0.40;35.40
2010;2019;4.60;0;28.40;30.50;0;0.40;36.10
2011;2019;5.60;0;28.30;28.50;0;0.40;37.20
2012;2019;6.30;0;27.50;26.80;0;0.10;39.40
2013;2019;6.40;0;27;27.20;0;0.20;39.20
2014;2019;7.10;0;26.10;27.10;0;0.50;39.10
2015;2019;6.80;0;27.30;26.70;0;0.20;38.90
2016;2019;7;0.10;27.10;27;0.20;0.30;38.60
2017;2019;6.50;0.10;28.40;26.90;0;0.50;37.60
2018;2019;6.90;0;26.30;28.30;0.10;0.50;37.80
2019;2019;7.10;0;27.70;26.70;0.20;0.30;38
2005;2020;3;0;28;34;0;1;34
2006;2020;4;0;27;34;0;0;35
2007;2020;5;0;28;32;0;0;35
2008;2020;5;0;27;33;0;0;35
2009;2020;5.50;0;26.60;32.10;0;0.40;35.40
2010;2020;4.60;0;28.40;30.50;0;0.40;36.10
2011;2020;5.60;0;28.30;28.50;0;0.40;37.20
2012;2020;6.30;0;27.50;26.80;0;0.10;39.40
2013;2020;6.40;0;27;27.20;0;0.20;39.20
2014;2020;7.10;0;26.10;27.10;0;0.50;39.10
2015;2020;6.80;0;27.30;26.70;0;0.20;38.90
2016;2020;7;0.10;27.10;27;0.20;0.30;38.60
2017;2020;6.50;0.10;28.40;26.90;0;0.50;37.60
2018;2020;6.90;0;26.30;28.30;0.10;0.50;37.80
2019;2020;7.10;0;27.70;26.70;0.20;0.30;38
2020;2020;8.60;0;37.10;26.90;0;0.50;26.80
2005;2021;3;0;28;34;0;1;34
2006;2021;4;0;27;34;0;0;35
2007;2021;5;0;28;32;0;0;35
2008;2021;5;0;27;33;0;0;35
2009;2021;5.5;0;26.60000038;32.09999943;0;0.400000006;35.40000153
2010;2021;4.599999905;0;28.39999962;30.50000095;0;0.400000006;36.09999847
2011;2021;5.599999905;0;28.29999924;28.49999905;0;0.400000006;37.20000076
2012;2021;6.300000191;0;27.5;26.79999924;0;0.100000001;39.40000153
2013;2021;6.400000095;0;27;27.20000076;0;0.200000003;39.20000076
2014;2021;7.099999905;0;26.10000038;27.10000038;0;0.5;39.09999847
2015;2021;6.800000191;0;27.29999924;26.69999981;0;0.200000003;38.90000153
2016;2021;7;0.100000001;27.10000038;27;0.200000003;0.300000012;38.59999847
2017;2021;6.5;0.100000001;28.39999962;26.89999962;0;0.5;37.59999847
2018;2021;6.900000095;0;26.29999924;28.30000019;0.100000001;0.5;37.79999924
2019;2021;7.099999905;0;27.70000076;26.69999981;0.200000003;0.300000012;38
2020;2021;8.600000381;0;37.09999847;26.89999914;0;0.5;26.79999924
2021;2021;9.399999619;0;34.5;25.80000019;0.100000001;0.400000006;29.60000038
