YEAR;REF_YEAR;DISTRICT;PASSENGER_CARS;POPULATION
2005;2015;Wien Innere Stadt;15953;17294
2015;2015;Wien Innere Stadt;16785;16339
2005;2015;Wien Leopoldstadt;31890;91364
2015;2015;Wien Leopoldstadt;32353;101702
2005;2015;Wien Landstraße;36107;83827
2015;2015;Wien Landstraße;38542;88125
2005;2015;Wien Wieden;13109;29573
2015;2015;Wien Wieden;12743;31691
2005;2015;Wien Margareten;17796;51882
2015;2015;Wien Margareten;16171;54246
2005;2015;Wien Mariahilf;11682;29012
2015;2015;Wien Mariahilf;10919;31000
2005;2015;Wien Neubau;11386;29161
2015;2015;Wien Neubau;10696;31291
2005;2015;Wien Josefstadt;8822;23588
2015;2015;Wien Josefstadt;8041;24518
2005;2015;Wien Alsergrund;16310;39472
2015;2015;Wien Alsergrund;14635;40882
2005;2015;Wien Favoriten;60160;163695
2015;2015;Wien Favoriten;63994;189713
2005;2015;Wien Simmering;31608;82429
2015;2015;Wien Simmering;34967;95198
2005;2015;Wien Meidling;29765;83372
2015;2015;Wien Meidling;32520;92229
2005;2015;Wien Hietzing;23325;51316
2015;2015;Wien Hietzing;23014;52115
2005;2015;Wien Penzing;32429;81785
2015;2015;Wien Penzing;34113;89303
2005;2015;Wien Rudolfsheim-Fünfhaus;22292;69467
2015;2015;Wien Rudolfsheim-Fünfhaus;21938;76320
2005;2015;Wien Ottakring;31081;91997
2015;2015;Wien Ottakring;32337;100738
2005;2015;Wien Hernals;18253;51316
2015;2015;Wien Hernals;18337;55628
2005;2015;Wien Währing;18073;46921
2015;2015;Wien Währing;17173;49178
2005;2015;Wien Döbling;28906;66900
2015;2015;Wien Döbling;28797;69999
2005;2015;Wien Brigittenau;26004;80758
2015;2015;Wien Brigittenau;25209;85525
2005;2015;Wien Floridsdorf;54606;134904
2015;2015;Wien Floridsdorf;59441;151844
2005;2015;Wien Donaustadt;63177;144820
2015;2015;Wien Donaustadt;76562;172978
2005;2015;Wien Liesing;45658;87716
2015;2015;Wien Liesing;48317;96775
2005;2016;Wien Innere Stadt;15953;17294
2016;2016;Wien Innere Stadt;16020;16411
2005;2016;Wien Leopoldstadt;31890;91364
2016;2016;Wien Leopoldstadt;32665;103225
2005;2016;Wien Landstraße;36107;83827
2016;2016;Wien Landstraße;38245;89806
2005;2016;Wien Wieden;13109;29573
2016;2016;Wien Wieden;12790;32751
2005;2016;Wien Margareten;17796;51882
2016;2016;Wien Margareten;16111;54938
2005;2016;Wien Mariahilf;11682;29012
2016;2016;Wien Mariahilf;10783;31620
2005;2016;Wien Neubau;11386;29161
2016;2016;Wien Neubau;10546;32020
2005;2016;Wien Josefstadt;8822;23588
2016;2016;Wien Josefstadt;7961;25054
2005;2016;Wien Alsergrund;16310;39472
2016;2016;Wien Alsergrund;14449;43095
2005;2016;Wien Favoriten;60160;163695
2016;2016;Wien Favoriten;65322;194746
2005;2016;Wien Simmering;31608;82429
2016;2016;Wien Simmering;35443;97342
2005;2016;Wien Meidling;29765;83372
2016;2016;Wien Meidling;32996;94170
2005;2016;Wien Hietzing;23325;51316
2016;2016;Wien Hietzing;23174;53813
2005;2016;Wien Penzing;32429;81785
2016;2016;Wien Penzing;34490;91596
2005;2016;Wien Rudolfsheim-Fünfhaus;22292;69467
2016;2016;Wien Rudolfsheim-Fünfhaus;21817;78349
2005;2016;Wien Ottakring;31081;91997
2016;2016;Wien Ottakring;32513;102605
2005;2016;Wien Hernals;18253;51316
2016;2016;Wien Hernals;18452;56329
2005;2016;Wien Währing;18073;46921
2016;2016;Wien Währing;18259;50283
2005;2016;Wien Döbling;28906;66900
2016;2016;Wien Döbling;28821;71609
2005;2016;Wien Brigittenau;26004;80758
2016;2016;Wien Brigittenau;25247;85815
