YEAR;REF_YEAR;BUS;TRAM;UNDERGROUND
1995;2015;119400000;217200000;350900000
1996;2015;113200000;212700000;370600000
1997;2015;111100000;211900000;375700000
1998;2015;112000000;214300000;377900000
1999;2015;111500000;213700000;386200000
2000;2015;113200000;216100000;395600000
2001;2015;109700000;206700000;413100000
2002;2015;108800000;204000000;409600000
2003;2015;108600000;203800000;409700000
2004;2015;110500000;204700000;420200000
2005;2015;111700000;207700000;427400000
2006;2015;117500000;204700000;450000000
2007;2015;116000000;200400000;476600000
2008;2015;115000000;190500000;498200000
2009;2015;114700000;186900000;510200000
2010;2015;114400000;189900000;534400000
2011;2015;113600000;193800000;567600000
2012;2015;167100000;295100000;444400000
2013;2015;177600000;293600000;428800000
2014;2015;186600000;304800000;439800000
2015;2015;201100000;298000000;440000000
1995;2016;119400000;217200000;350900000
1996;2016;113200000;212700000;370600000
1997;2016;111100000;211900000;375700000
1998;2016;112000000;214300000;377900000
1999;2016;111500000;213700000;386200000
2000;2016;113200000;216100000;395600000
2001;2016;109700000;206700000;413100000
2002;2016;108800000;204000000;409600000
2003;2016;108600000;203800000;409700000
2004;2016;110500000;204700000;420200000
2005;2016;111700000;207700000;427400000
2006;2016;117500000;204700000;450000000
2007;2016;116000000;200400000;476600000
2008;2016;115000000;190500000;498200000
2009;2016;114700000;186900000;510200000
2010;2016;114400000;189900000;534400000
2011;2016;113600000;193800000;567600000
2012;2016;167100000;295100000;444400000
2013;2016;177600000;293600000;428800000
2014;2016;186600000;304800000;439800000
2015;2016;201100000;298000000;440000000
2016;2016;208300000;305800000;440100000
1995;2017;119400000;217200000;350900000
1996;2017;113200000;212700000;370600000
1997;2017;111100000;211900000;375700000
1998;2017;112000000;214300000;377900000
1999;2017;111500000;213700000;386200000
2000;2017;113200000;216100000;395600000
2001;2017;109700000;206700000;413100000
2002;2017;108800000;204000000;409600000
2003;2017;108600000;203800000;409700000
2004;2017;110500000;204700000;420200000
2005;2017;111700000;207700000;427400000
2006;2017;117500000;204700000;450000000
2007;2017;116000000;200400000;476600000
2008;2017;115000000;190500000;498200000
2009;2017;114700000;186900000;510200000
2010;2017;114400000;189900000;534400000
2011;2017;113600000;193800000;567600000
2012;2017;167100000;295100000;444400000
2013;2017;177600000;293600000;428800000
2014;2017;186600000;304800000;439800000
2015;2017;201100000;298000000;440000000
2016;2017;208300000;305800000;440100000
2017;2017;202300000;305800000;453600000
1995;2018;119400000;217200000;350900000
1996;2018;113200000;212700000;370600000
1997;2018;111100000;211900000;375700000
1998;2018;112000000;214300000;377900000
1999;2018;111500000;213700000;386200000
2000;2018;113200000;216100000;395600000
2001;2018;109700000;206700000;413100000
2002;2018;108800000;204000000;409600000
2003;2018;108600000;203800000;409700000
2004;2018;110500000;204700000;420200000
2005;2018;111700000;207700000;427400000
2006;2018;117500000;204700000;450000000
2007;2018;116000000;200400000;476600000
2008;2018;115000000;190500000;498200000
2009;2018;114700000;186900000;510200000
2010;2018;114400000;189900000;534400000
2011;2018;113600000;193800000;567600000
2012;2018;167100000;295100000;444400000
2013;2018;177600000;293600000;428800000
2014;2018;186600000;304800000;439800000
2015;2018;201100000;298000000;440000000
2016;2018;208300000;305800000;440100000
2017;2018;202300000;305800000;453600000
2018;2018;197300000;305500000;463100000
1995;2019;119400000;217200000;350900000
1996;2019;113200000;212700000;370600000
1997;2019;111100000;211900000;375700000
1998;2019;112000000;214300000;377900000
1999;2019;111500000;213700000;386200000
2000;2019;113200000;216100000;395600000
2001;2019;109700000;206700000;413100000
2002;2019;108800000;204000000;409600000
2003;2019;108600000;203800000;409700000
2004;2019;110500000;204700000;420200000
2005;2019;111700000;207700000;427400000
2006;2019;117500000;204700000;450000000
2007;2019;116000000;200400000;476600000
2008;2019;115000000;190500000;498200000
2009;2019;114700000;186900000;510200000
2010;2019;114400000;189900000;534400000
2011;2019;113600000;193800000;567600000
2012;2019;167100000;295100000;444400000
2013;2019;177600000;293600000;428800000
2014;2019;186600000;304800000;439800000
2015;2019;201100000;298000000;440000000
2016;2019;208300000;305800000;440100000
