NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;ANNUAL_TICKETS
AT1;AT13;AT130;90001;0;2005;2021;303000
AT1;AT13;AT130;90001;0;2007;2021;325000
AT1;AT13;AT130;90001;0;2009;2021;336000
AT1;AT13;AT130;90001;0;2011;2021;363000
AT1;AT13;AT130;90001;0;2012;2021;501000
AT1;AT13;AT130;90001;0;2013;2021;582000
AT1;AT13;AT130;90001;0;2014;2021;650000
AT1;AT13;AT130;90001;0;2015;2021;711250
AT1;AT13;AT130;90001;0;2016;2021;733000
AT1;AT13;AT130;90001;0;2017;2021;778162
AT1;AT13;AT130;90001;0;2018;2021;822174
AT1;AT13;AT130;90001;0;2019;2021;852300
AT1;AT13;AT130;90001;0;2020;2021;818813
AT1;AT13;AT130;90001;0;2021;2021;859065
