NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;DISTRICT;PASSENGER_CARS;POPULATION
AT1;AT13;AT130;9;0;2005;2019;Wien;655.806,00;1.652.449,00
AT1;AT13;AT130;90101;0;2005;2019;Wien Innere Stadt;15.953,00;17.285,00
AT1;AT13;AT130;90201;0;2005;2019;Wien Leopoldstadt;31.890,00;92.170,00
AT1;AT13;AT130;90301;0;2005;2019;Wien Landstraße;36.107,00;84.208,00
AT1;AT13;AT130;90401;0;2005;2019;Wien Wieden;13.109,00;30.126,00
AT1;AT13;AT130;90501;0;2005;2019;Wien Margareten;17.796,00;52.534,00
AT1;AT13;AT130;90601;0;2005;2019;Wien Mariahilf;11.682,00;29.369,00
AT1;AT13;AT130;90701;0;2005;2019;Wien Neubau;11.386,00;30.416,00
AT1;AT13;AT130;90801;0;2005;2019;Wien Josefstadt;8.822,00;23.597,00
AT1;AT13;AT130;90901;0;2005;2019;Wien Alsergrund;16.310,00;39.264,00
AT1;AT13;AT130;91001;0;2005;2019;Wien Favoriten;60.160,00;167.238,00
AT1;AT13;AT130;91101;0;2005;2019;Wien Simmering;31.608,00;82.722,00
AT1;AT13;AT130;91201;0;2005;2019;Wien Meidling;29.765,00;84.240,00
AT1;AT13;AT130;91301;0;2005;2019;Wien Hietzing;23.325,00;51.356,00
AT1;AT13;AT130;91401;0;2005;2019;Wien Penzing;32.429,00;82.829,00
AT1;AT13;AT130;91501;0;2005;2019;Wien Rudolfsheim-Fünfhaus;22.292,00;70.235,00
AT1;AT13;AT130;91601;0;2005;2019;Wien Ottakring;31.081,00;93.817,00
AT1;AT13;AT130;91701;0;2005;2019;Wien Hernals;18.253,00;52.480,00
AT1;AT13;AT130;91801;0;2005;2019;Wien Währing;18.073,00;47.291,00
AT1;AT13;AT130;91901;0;2005;2019;Wien Döbling;28.906,00;67.389,00
AT1;AT13;AT130;92001;0;2005;2019;Wien Brigittenau;26.004,00;81.288,00
AT1;AT13;AT130;92101;0;2005;2019;Wien Floridsdorf;54.606,00;136.625,00
AT1;AT13;AT130;92201;0;2005;2019;Wien Donaustadt;63.177,00;146.892,00
AT1;AT13;AT130;92301;0;2005;2019;Wien Liesing;45.658,00;89.078,00
AT1;AT13;AT130;9;0;2019;2019;Wien;714.960,00;1.911.728,00
AT1;AT13;AT130;90101;0;2019;2019;Wien Innere Stadt;16.044,00;16.047,00
AT1;AT13;AT130;90201;0;2019;2019;Wien Leopoldstadt;32.832,00;105.897,00
AT1;AT13;AT130;90301;0;2019;2019;Wien Landstraße;38.896,00;91.696,00
AT1;AT13;AT130;90401;0;2019;2019;Wien Wieden;12.379,00;33.218,00
AT1;AT13;AT130;90501;0;2019;2019;Wien Margareten;15.326,00;55.162,00
AT1;AT13;AT130;90601;0;2019;2019;Wien Mariahilf;10.120,00;31.657,00
AT1;AT13;AT130;90701;0;2019;2019;Wien Neubau;9.939,00;31.972,00
AT1;AT13;AT130;90801;0;2019;2019;Wien Josefstadt;7.548,00;25.056,00
AT1;AT13;AT130;90901;0;2019;2019;Wien Alsergrund;13.599,00;41.901,00
AT1;AT13;AT130;91001;0;2019;2019;Wien Favoriten;71.551,00;207.266,00
AT1;AT13;AT130;91101;0;2019;2019;Wien Simmering;38.538,00;104.449,00
AT1;AT13;AT130;91201;0;2019;2019;Wien Meidling;33.215,00;97.087,00
AT1;AT13;AT130;91301;0;2019;2019;Wien Hietzing;23.441,00;54.053,00
AT1;AT13;AT130;91401;0;2019;2019;Wien Penzing;35.217,00;93.665,00
AT1;AT13;AT130;91501;0;2019;2019;Wien Rudolfsheim-Fünfhaus;21.148,00;76.841,00
AT1;AT13;AT130;91601;0;2019;2019;Wien Ottakring;31.950,00;103.139,00
AT1;AT13;AT130;91701;0;2019;2019;Wien Hernals;18.365,00;57.048,00
AT1;AT13;AT130;91801;0;2019;2019;Wien Währing;18.227,00;51.505,00
AT1;AT13;AT130;91901;0;2019;2019;Wien Döbling;30.752,00;73.920,00
AT1;AT13;AT130;92001;0;2019;2019;Wien Brigittenau;24.456,00;86.385,00
AT1;AT13;AT130;92101;0;2019;2019;Wien Floridsdorf;64.556,00;168.015,00
AT1;AT13;AT130;92201;0;2019;2019;Wien Donaustadt;84.005,00;195.262,00
AT1;AT13;AT130;92301;0;2019;2019;Wien Liesing;54.543,00;110.487,00
