NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;BUS;TRAM;UNDERGROUND
AT1;AT13;AT130;90001;0;1995;2015;119.400.000,00;217.200.000,00;350.900.000,00
AT1;AT13;AT130;90001;0;1996;2015;113.200.000,00;212.700.000,00;370.600.000,00
AT1;AT13;AT130;90001;0;1997;2015;111.100.000,00;211.900.000,00;375.700.000,00
AT1;AT13;AT130;90001;0;1998;2015;112.000.000,00;214.300.000,00;377.900.000,00
AT1;AT13;AT130;90001;0;1999;2015;111.500.000,00;213.700.000,00;386.200.000,00
AT1;AT13;AT130;90001;0;2000;2015;113.200.000,00;216.100.000,00;395.600.000,00
AT1;AT13;AT130;90001;0;2001;2015;109.700.000,00;206.700.000,00;413.100.000,00
AT1;AT13;AT130;90001;0;2002;2015;108.800.000,00;204.000.000,00;409.600.000,00
AT1;AT13;AT130;90001;0;2003;2015;108.600.000,00;203.800.000,00;409.700.000,00
AT1;AT13;AT130;90001;0;2004;2015;110.500.000,00;204.700.000,00;420.200.000,00
AT1;AT13;AT130;90001;0;2005;2015;111.700.000,00;207.700.000,00;427.400.000,00
AT1;AT13;AT130;90001;0;2006;2015;117.500.000,00;204.700.000,00;450.000.000,00
AT1;AT13;AT130;90001;0;2007;2015;116.000.000,00;200.400.000,00;476.600.000,00
AT1;AT13;AT130;90001;0;2008;2015;115.000.000,00;190.500.000,00;498.200.000,00
AT1;AT13;AT130;90001;0;2009;2015;114.700.000,00;186.900.000,00;510.200.000,00
AT1;AT13;AT130;90001;0;2010;2015;114.400.000,00;189.900.000,00;534.400.000,00
AT1;AT13;AT130;90001;0;2011;2015;113.600.000,00;193.800.000,00;567.600.000,00
AT1;AT13;AT130;90001;0;2012;2015;167.100.000,00;295.100.000,00;444.400.000,00
AT1;AT13;AT130;90001;0;2013;2015;177.600.000,00;293.600.000,00;428.800.000,00
AT1;AT13;AT130;90001;0;2014;2015;186.600.000,00;304.800.000,00;439.800.000,00
AT1;AT13;AT130;90001;0;2015;2015;201.100.000,00;298.000.000,00;440.000.000,00
